Дата;Часы;Факт, Мвт*ч;Плановая температура;
06.07.2013;0;7,901;20;
06.07.2013;1;7,992;19;
06.07.2013;2;7,897;19;
06.07.2013;3;7,791;19;
06.07.2013;4;7,649;19;
06.07.2013;5;7,775;20;
06.07.2013;6;8,001;22;
06.07.2013;7;7,968;24;
06.07.2013;8;8,501;25;
06.07.2013;9;8,489;26;
06.07.2013;10;8,488;27;
06.07.2013;11;8,682;27;
06.07.2013;12;8,724;28;
06.07.2013;13;8,849;28;
06.07.2013;14;8,905;28;
06.07.2013;15;8,866;28;
06.07.2013;16;8,774;28;
06.07.2013;17;8,749;28;
06.07.2013;18;8,829;27;
06.07.2013;19;8,225;26;
06.07.2013;20;8,127;25;
06.07.2013;21;8,228;23;
06.07.2013;22;8,073;22;
06.07.2013;23;7,816;21;
07.07.2013;0;7,867;20;
07.07.2013;1;7,889;19;
07.07.2013;2;7,736;19;
07.07.2013;3;7,838;19;
07.07.2013;4;7,787;20;
07.07.2013;5;7,893;21;
07.07.2013;6;7,9;22;
07.07.2013;7;8,006;24;
07.07.2013;8;8,383;25;
07.07.2013;9;8,484;26;
07.07.2013;10;8,85;27;
07.07.2013;11;9,044;28;
07.07.2013;12;9,08;29;
07.07.2013;13;9,249;29;
07.07.2013;14;9,224;29;
07.07.2013;15;9,148;29;
07.07.2013;16;9,156;29;
07.07.2013;17;9,123;29;
07.07.2013;18;8,875;28;
07.07.2013;19;8,388;27;
07.07.2013;20;8,038;26;
07.07.2013;21;8,027;25;
07.07.2013;22;8,027;23;
07.07.2013;23;7,875;22;
08.07.2013;0;7,863;22;
08.07.2013;1;7,826;21;
08.07.2013;2;7,871;21;
08.07.2013;3;7,837;21;
08.07.2013;4;7,83;22;
08.07.2013;5;7,992;23;
08.07.2013;6;8,232;24;
08.07.2013;7;8,393;26;
08.07.2013;8;8,858;28;
08.07.2013;9;9,11;29;
08.07.2013;10;9,307;30;
08.07.2013;11;9,447;31;
08.07.2013;12;9,61;31;
08.07.2013;13;9,395;32;
08.07.2013;14;9,329;32;
08.07.2013;15;9,514;32;
08.07.2013;16;9,324;32;
08.07.2013;17;8,757;31;
08.07.2013;18;8,762;30;
08.07.2013;19;9,19;29;
08.07.2013;20;8,548;27;
08.07.2013;21;8,505;26;
08.07.2013;22;8,135;25;
08.07.2013;23;7,935;23;
09.07.2013;0;8,174;22;
09.07.2013;1;8,051;22;
09.07.2013;2;7,808;21;
09.07.2013;3;7,892;21;
09.07.2013;4;7,872;21;
09.07.2013;5;7,69;22;
09.07.2013;6;7,641;24;
09.07.2013;7;7,9;25;
09.07.2013;8;7,997;26;
09.07.2013;9;8,09;27;
09.07.2013;10;8,22;27;
09.07.2013;11;8,677;28;
09.07.2013;12;8,543;28;
09.07.2013;13;8,342;28;
09.07.2013;14;8,502;28;
09.07.2013;15;8,4;28;
09.07.2013;16;8,324;27;
09.07.2013;17;8,254;26;
09.07.2013;18;8,115;24;
09.07.2013;19;7,964;23;
09.07.2013;20;7,946;22;
09.07.2013;21;7,938;21;
09.07.2013;22;7,805;21;
09.07.2013;23;7,732;20;
10.07.2013;0;7,859;20;
10.07.2013;1;7,783;20;
10.07.2013;2;7,69;20;
10.07.2013;3;7,792;20;
10.07.2013;4;7,799;20;
10.07.2013;5;7,78;20;
10.07.2013;6;7,808;21;
10.07.2013;7;8,034;22;
10.07.2013;8;8,305;23;
10.07.2013;9;8,455;23;
10.07.2013;10;8,799;24;
10.07.2013;11;9,081;25;
10.07.2013;12;9,207;25;
10.07.2013;13;9,194;25;
10.07.2013;14;9,496;25;
10.07.2013;15;8,846;24;
10.07.2013;16;8,602;23;
10.07.2013;17;8,341;22;
10.07.2013;18;8,174;20;
10.07.2013;19;8,06;19;
10.07.2013;20;7,792;18;
10.07.2013;21;7,791;17;
10.07.2013;22;7,935;16;
10.07.2013;23;7,875;16;
11.07.2013;0;7,803;19;
11.07.2013;1;7,721;18;
11.07.2013;2;7,733;17;
11.07.2013;3;7,551;17;
11.07.2013;4;7,683;17;
11.07.2013;5;7,644;17;
11.07.2013;6;7,707;18;
11.07.2013;7;7,695;19;
11.07.2013;8;7,674;20;
11.07.2013;9;7,577;20;
11.07.2013;10;7,934;21;
11.07.2013;11;8,119;21;
11.07.2013;12;8,233;21;
11.07.2013;13;8,291;20;
11.07.2013;14;8,224;20;
11.07.2013;15;8,174;20;
11.07.2013;16;8,047;19;
11.07.2013;17;7,985;17;
11.07.2013;18;8,051;16;
11.07.2013;19;7,905;15;
11.07.2013;20;7,552;14;
11.07.2013;21;7,623;14;
11.07.2013;22;7,712;13;
11.07.2013;23;7,729;13;
12.07.2013;0;7,695;12;
12.07.2013;1;7,703;11;
12.07.2013;2;7,69;11;
12.07.2013;3;7,645;11;
12.07.2013;4;7,636;12;
12.07.2013;5;7,518;12;
12.07.2013;6;7,598;12;
12.07.2013;7;7,661;12;
12.07.2013;8;7,712;13;
12.07.2013;9;7,724;13;
12.07.2013;10;7,787;14;
12.07.2013;11;7,846;14;
12.07.2013;12;7,901;14;
12.07.2013;13;7,733;15;
12.07.2013;14;7,917;15;
12.07.2013;15;7,897;15;
12.07.2013;16;7,892;15;
12.07.2013;17;7,896;15;
12.07.2013;18;7,741;15;
12.07.2013;19;7,896;14;
12.07.2013;20;7,745;13;
12.07.2013;21;7,628;13;
12.07.2013;22;7,443;12;
12.07.2013;23;7,38;12;
13.07.2013;0;7,548;11;
13.07.2013;1;7,518;11;
13.07.2013;2;7,556;11;
13.07.2013;3;7,552;11;
13.07.2013;4;7,56;11;
13.07.2013;5;7,54;12;
13.07.2013;6;7,666;13;
13.07.2013;7;7,674;14;
13.07.2013;8;7,715;15;
13.07.2013;9;7,762;16;
13.07.2013;10;7,775;17;
13.07.2013;11;7,934;18;
13.07.2013;12;8,022;18;
13.07.2013;13;8,145;18;
13.07.2013;14;8,051;18;
13.07.2013;15;7,935;18;
13.07.2013;16;7,762;18;
13.07.2013;17;7,371;17;
13.07.2013;18;7,367;16;
13.07.2013;19;7,22;15;
13.07.2013;20;7,191;14;
13.07.2013;21;7,262;13;
